discountoffer,total_products,avg_rating,total_reviews
"Rs. 627 OFF",5,4.44,698
"Rs. 2001 OFF",5,1.56,142
"Rs. 2610 OFF",5,0.88,130
"Rs. 47 OFF",5,4.28,389
"63% OFF, Hurry*",5,3.24,191
"Rs. 490 OFF",5,3.3,133
"Rs. 455 OFF",5,3.4,216
"Rs. 1501 OFF",5,2.26,127
"Rs. 2450 OFF",5,1.8,74
"Rs. 960 OFF",5,1.44,68
"Rs. 1701 OFF",5,2.26,85
"Rs. 349 OFF",5,1.52,58
"Rs. 860 OFF",5,2.6,82
"Rs. 2734 OFF",5,2.62,37
"Rs. 268 OFF",5,1.52,30
"Rs. 295 OFF",5,3.14,48
"Rs. 1404 OFF",5,3.88,73
"Rs. 1159 OFF",5,2.42,51
"Rs. 431 OFF",5,1.66,32
"Rs. 175 OFF",5,3.16,67
"Rs. 730 OFF",5,2.6,44
"Rs. 103 OFF",5,3.78,44
"Rs. 930 OFF",5,0.62,17
"Rs. 1720 OFF",5,1.8,23
"Rs. 359 OFF",5,2.42,27
"Rs. 6000 OFF",5,0.92,13
"Rs. 1015 OFF",5,1.48,22
"Rs. 228 OFF",5,1.66,19
"Rs. 425 OFF",5,1.44,18
"Rs. 2060 OFF",5,1.58,17
"Rs. 924 OFF",5,1.5,11
"Rs. 1399 OFF",5,0.66,8
"Rs. 1314 OFF",5,1.48,14
"Rs. 1674 OFF",5,1.8,15
"Rs. 1120 OFF",5,0.98,7
"Rs. 2740 OFF",5,0.88,7
"Rs. 6101 OFF",5,0.66,7
"Rs. 1280 OFF",5,0.92,7
"Rs. 1270 OFF",5,0.94,7
"Rs. 148 OFF",5,1.74,11
"Rs. 1249 OFF",5,0.84,6
"Rs. 1371 OFF",5,1.26,7
"Rs. 1059 OFF",5,0.76,5
"Rs. 134 OFF",5,0.96,5
"Rs. 8496 OFF",5,1.94,7
"Rs. 810 OFF",5,1,3
"Rs. 2631 OFF",5,0.6,2
"Rs. 748 OFF",5,0.2,2
"Rs. 1220 OFF",5,0,0
"Rs. 1084 OFF",5,0,0
"Rs. 720 OFF",5,0,0
"Rs. 521 OFF",5,0,0
"Rs. 481 OFF",5,0,0
"Rs. 1645 OFF",5,0,0
"Rs. 4920 OFF",5,0,0
"Rs. 4800 OFF",5,0,0
"Rs. 683 OFF",5,0,0
"Rs. 4240 OFF",5,0,0
"Rs. 11500 OFF",5,0,0
"Rs. 10501 OFF",5,0,0
"Rs. 1080 OFF",5,0,0
"Rs. 2405 OFF",5,0,0
"Rs. 4600 OFF",5,0,0
"Rs. 3204 OFF",5,0,0
"Rs. 3010 OFF",5,0,0
"Rs. 3810 OFF",5,0,0
"Rs. 542 OFF",5,0,0
"Rs. 403 OFF",5,0,0
"Rs. 825 OFF",5,0,0
"Rs. 1420 OFF",5,0,0
"Rs. 1567 OFF",5,0,0
"Rs. 2790 OFF",5,0,0
"Rs. 6 OFF",4,4.15,1020
"Rs. 122 OFF",4,4.05,945
"Rs. 1406 OFF",4,2.68,443
"Rs. 37 OFF",4,4.3,481
"Rs. 575 OFF",4,2.1,190
"Rs. 894 OFF",4,2.12,145
"Rs. 1124 OFF",4,1.02,99
"Rs. 7501 OFF",4,3.22,129
"Rs. 168 OFF",4,1.98,128
"Rs. 816 OFF",4,0.82,71
"Rs. 1830 OFF",4,2.08,70
"Rs. 630 OFF",4,1.15,54
